FALSE,Year Makes: 96 Models: 675,Nickname,Ordinal,Year,Makes: 96,Models: 675,Access Type,DLC Pack,Special Reward/Gift,Direct Access,Rarity,FE Boost,Featured Sale Deadline,Car Value,Car Division,Spec,PI,Class,S,B,H,A,L,O,HP,T,Wt,Wt / HP,%,Displ cc,Aspiration,Engine,Cylinders,Eng,Drive,F Tire/RRim,R Tire/RRim,Track Width,Aero or kit Options,Engine Conversions (hp),Aspiration Options,Naturally Aspirated,Region,Country,Model Family,Open Top,Doors,Steering,Wheels,No lights,Car Themes,0-60 Sec,0-100 Sec,1/4 Mile,Top Speed,60-0 Feet,100-0 Ft,60 mph g's,100mph g's,60-100 sec,MM VIN,FM Debut,FH5 Debut,Forza Debut,Latest game,New to Forza,FM,FH5,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,FM3,FM2,FM1,# Titles,Xbox gen,
FALSE,2017 Abarth 124 Spider,Abarth 124 '17,2740,2017,Abarth,124 Spider,Buy Cars Base,FM Update 4,,,Common,,24-Jan-2024,"43,000",Modern Sport Compact,Factory,360,D,2.1,2.3,2.4,2.2,2.6,5.1,186,184,2477,13.32,54,1368,T,Inline,4,F,RWD,205/R17,205/R17,Both,Forza,"194, 212, 232, 250, 276, 350, 415, 630, 690",none,eng,Europe,Italy,,Yes,2,L,4,,SS,6.500,17.600,14.917,144.4,111.2,284.3,1.10,1.07,11.100,12843,25-Jan-24,07-Sep-23,07-Nov-17,FM,FM7,S,cu,FH4,DLC,,,,,,,,,,4,XBO,1
FALSE,2024 Chevrolet NASCAR Next Gen Camaro ZL1,NASCAR Camaro,3994,2024,Chevrolet,NASCAR Next Gen Camaro ZL1,Buy Cars Base,FM Update 14,,,,,,"326,000",NASCAR,Race,855,R,6.0,7.0,7.0,5.5,,,670,470,3325,4.96,50,5900,NA,V,8,F,RWD,/R18,/R18,,Adjustable,none,none,,N. America,U.S.,,,2,L,4,,,3.500,6.550,11.117,200.0,80.4,199.3,1.48,1.71,3.050,,06-Nov-24,,06-Nov-24,FM,FM,S,,,,,,,,,,,,,1,XBO,0
FALSE,2016 Abarth 695 Biposto,Abarth 695 '16,2489,2016,Abarth,695 Biposto,Seasonal,Series 24 cu,,,Common,,,"250,000",Hot Hatch,Factory,657,C,4.9,4.8,5.3,4.7,4.4,5.1,186,183,2198,11.82,64,1368,T,Inline,4,F,FWD,,215,Both,Forza,300,none,no,Europe,Italy,,,3,L,4,,,5.655,16.939,,138.6,117.8,292.6,1.05,1.10,11.284,12489,,24-Aug-23,02-Aug-16,FH5,FM6,,cu,FH4,FM7,FH3,DLC,,,,,,,,5,XBO,0
FALSE,2013 Abarth Punto Supersport,Abarth Punto,,2013,Abarth,Punto Supersport,,,,,,,,,Modern Hot Hatch,Factory,363,D,5.0,4.5,4.6,6.5,,,177,199,2612,14.76,60,,T,Inline,4,F,FWD,,,,,,,eng,Europe,Italy,,,3,L,4,,,7.519,18.637,14.950,135.8,146.2,327.4,1.09,1.05,11.118,12086,,,04-Feb-14,FM7,FM5,,,,FM7,,FM6,FH2,DLC,,,,,,4,XBO,0
FALSE,2010 Abarth 500 esseesse,Fiat Abarth 500,,2010,Abarth,500 esseesse,,,,,,,,,Hot Hatch,Factory,563,C,5.0,5.9,5.8,6.4,6.7,,158,169,2050,12.97,65,1368,T,Inline,4,F,FWD,,,,,,,eng,Europe,Italy,,,3,L,4,,,7.417,20.719,,136.4,153.5,393.5,0.80,0.79,13.302,11451,,,27-Oct-09,FH3,FM3,,,,,FH3,FM6,FH2,FM5,FH1,FM4,FM3,,,7,XBO,0
FALSE,1980 Abarth Fiat 131,Abarth 131,1124,1980,Abarth,Fiat 131,Seasonal,Series 24 cu,,,Common,,,"250,000",Classic Rally,Factory,510,C,4.3,3.2,4.1,4.1,3.9,5.9,140,130,2161,15.44,54,1995,NA,Inline,4,F,RWD,,185,Both,Rally lights / roof,"321, 300, 805","T, CS",stock,Europe,Italy,,,2,L,4,,,8.182,23.982,,120.0,155.5,381.3,0.89,0.90,15.800,11452,,31-Aug-23,27-Oct-09,FH5,FM3,,cu,FH4,FM7,FH3,FM6,FH2,DLC,,FM4,DLC,,,9,XBO,0
FALSE,1968 Abarth 595 esseesse,Abarth 595 '68,2017,1968,Abarth,595 esseesse,Autoshow,Series 24 cu,,,Common,,,"35,000",Cult Cars,Factory,100,D,2.6,2.0,3.7,1.7,2.6,5.1,28,34,1257,44.89,42,594,NA,Inline,2,R,RWD,,125,Both,Forza,"158, 196, 300",CS,stock,Europe,Italy,,,2,R,4,,"DvG, mm",28.227,999.999,,73.9,182.3,F,0.73,0.73,971.772,11951,,15-Aug-23,23-Oct-12,FH5,FH1,,cu,FH4,FM7,FH3,FM6,DLC,,FH1,,,,,7,XBO,0
FALSE,2024 Toyota NASCAR Next Gen Camry XSE,NASCAR Camry,3993,2024,Toyota,NASCAR Next Gen Camry XSE,Buy Cars Base,FM Update 14,,,,,,"326,000",NASCAR,Race,855,R,6.0,7.0,7.0,5.5,,,670,470,3325,4.96,50,5900,NA,V,8,F,RWD,/R18,/R18,,Adjustable,none,none,,Asia,Japan,,,2,L,4,,,,,,,,,,,,,06-Nov-24,,06-Nov-24,FM,FM,S,,,,,,,,,,,,,1,XBO,0
FALSE,1969 Chevrolet Camaro Jordan Luka 3 Motorsport Edition,Camaro JL3,3972,1969,Chevrolet,Camaro Jordan Luka 3 Motorsport Edition,Buy Cars Base,FM Update 12,Play before 25 Jan '25,,,,,"157,000",Vintage Muscle,Tuner,693,A,3.9,4.8,4.7,4.0,,,525,486,3307,6.30,52,6200,NA,V,8,F,RWD,/R18,/R18,,,,"TT, PDS",,N. America,U.S.,Chevrolet Camaro,,2,L,4,,,5.786,14.183,14.183,141.2,175.8,432.9,0.78,0.77,8.397,,09-Sep-24,10-Sep-24,09-Sep-24,FM,FH5,G,cu,,,,,,,,,,,,2,XBO,0
FALSE,2022 Acura NSX Type S,,3767,2022,Acura,NSX Type S,Reward,FM Update 18,,,,,,,Modern Sport GT,Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,N. America,U.S.,,,2,,4,,,,,,,,,,,,,18-Jun-25,,18-Jun-25,FM,FM,R,,,,,,,,,,,,,1,XBO,1
